Control ,Threat                                                                                            ,Log                         ,Audit ,Detect ,Respond ,Mapping                      ,Comment                                                                                                                                                                             ,Mapping2 ,Alternatives        ,Comments
1.01    ,"Login occured from a highly-priviledged account(e.g. Super Admin, Organization Admin)"           ,Cloud Identity Logs         ,      ,✅      ,        ,                             ,                                                                                                                                                                                    ,         ,                    ,
        ,                                                                                                  ,(Google Workspace Login)    ,      ,       ,        ,T1078.004                    ,Valid Accounts: Cloud Accounts                                                                                                                                                      ,         ,                    ,
1.02    ,Suspicious login attempts flagged by Google Workspace                                             ,Cloud Identity Logs         ,      ,✅      ,        ,T1078.004                    ,Valid Accounts: Cloud Accounts                                                                                                                                                      ,         ,                    ,
        ,                                                                                                  ,(Google Workspace Login)    ,      ,       ,        ,T1078.004                    ,Valid Accounts: Cloud Accounts                                                                                                                                                      ,         ,T1110 - Brute Force ,
1.03    ,Excessive login failures from any user identity ( >= 3)                                           ,Cloud Identity Logs         ,      ,✅      ,        ,T1078.004                    ,Valid Accounts: Cloud Accounts                                                                                                                                                      ,         ,T1110 - Brute Force ,
        ,                                                                                                  ,(Google Workspace Login)    ,      ,       ,        ,T1078.004                    ,Valid Accounts: Cloud Accounts                                                                                                                                                      ,         ,T1110 - Brute Force ,
1.1     ,Access attempts violating VPC service controls                                                    ,Audit Logs - Policy         ,✅     ,✅      ,        ,N/A                          ,"Article proposed a ""Remove Boundary Security Control"" technique, but nothing currently exists in ATT&CK: https://www.netskope.com/blog/a-mitre-based-analysis-of-a-cloud-attack" ,         ,                    ,
1.2     ,Access attempts violating Identity-Aware Proxy (IAP) access controls                              ,HTTP(S) LB Logs             ,✅     ,✅      ,        ,N/A                          ,                                                                                                                                                                                    ,         ,                    ,
2.01    ,Super admin or Admin permissions granted                                                          ,Audit Logs - Admin Activity ,✅     ,✅      ,        ,                             ,                                                                                                                                                                                    ,         ,                    ,
        ,                                                                                                  ,(Google Workspace Admin)    ,      ,       ,        ,T1484.001                    ,Domain Policy Modification: Group Policy Modification                                                                                                                               ,         ,                    ,
